comparison_id	set_name	region_class	gene_rank	gene_id	gene_name	gene_label	peak_hit_count	unique_peak_count	transcript_count	transcript_ids	peak_hit_fraction_within_set
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	1	ENSG00000084674.15	APOB	APOB	119	119	2	ENST00000233242.5;ENST00000399256.4	0.016348
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	2	ENSG00000115414.22	FN1	FN1	118	118	21	ENST00000323926.10;ENST00000336916.8;ENST00000354785.11;ENST00000356005.8;ENST00000357867.8;ENST00000359671.5;ENST00000421182.5;ENST00000426059.1;ENST00000432072.6;ENST00000443816.5;ENST00000446046.5;ENST00000865084.1;ENST00000865085.1;ENST00000865086.1;ENST00000865087.1;ENST00000865088.1;ENST00000865089.1;ENST00000933287.1;ENST00000967217.1;ENST00000967218.1;ENST00000967219.1	0.016211
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	3	ENSG00000130702.15	LAMA5	LAMA5	51	51	1	ENST00000252999.7	0.007006
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	4	ENSG00000091513.17	TF	TF	41	41	6	ENST00000402696.9;ENST00000877245.1;ENST00000877246.1;ENST00000877247.1;ENST00000877248.1;ENST00000877249.1	0.005633
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	5	ENSG00000023839.12	ABCC2	ABCC2	40	40	2	ENST00000647814.1;ENST00000648689.1	0.005495
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	6	ENSG00000125730.19	C3	C3	40	40	8	ENST00000245907.11;ENST00000695653.1;ENST00000695693.1;ENST00000879543.1;ENST00000879544.1;ENST00000879545.1;ENST00000879546.1;ENST00000952696.1	0.005495
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	7	ENSG00000169710.10	FASN	FASN	38	38	8	ENST00000306749.4;ENST00000634990.1;ENST00000940341.1;ENST00000940342.1;ENST00000940343.1;ENST00000940344.1;ENST00000940345.1;ENST00000940346.1	0.00522
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	8	ENSG00000175899.16	A2M	A2M	30	30	18	ENST00000318602.12;ENST00000891824.1;ENST00000891825.1;ENST00000891826.1;ENST00000891827.1;ENST00000891828.1;ENST00000891829.1;ENST00000891830.1;ENST00000891831.1;ENST00000891832.1;ENST00000891833.1;ENST00000891834.1;ENST00000891835.1;ENST00000956132.1;ENST00000956133.1;ENST00000956134.1;ENST00000956135.1;ENST00000956136.1	0.004121
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	9	ENSG00000151914.22	DST	DST	29	29	11	ENST00000244364.10;ENST00000312431.10;ENST00000340834.10;ENST00000361203.7;ENST00000370765.11;ENST00000370788.6;ENST00000421834.7;ENST00000449297.7;ENST00000518935.5;ENST00000520645.6;ENST00000680361.1	0.003984
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	10	ENSG00000123384.14	LRP1	LRP1	29	29	1	ENST00000243077.8	0.003984
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	11	ENSG00000127481.15	UBR4	UBR4	28	28	4	ENST00000375218.3;ENST00000375224.1;ENST00000375225.7;ENST00000375254.8	0.003847
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	12	ENSG00000142798.20	HSPG2	HSPG2	27	27	1	ENST00000374695.8	0.003709
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	13	ENSG00000081051.8	AFP	AFP	26	26	2	ENST00000226359.2;ENST00000395792.7	0.003572
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	14	ENSG00000092758.19	COL9A3	COL9A3	26	26	4	ENST00000649368.1;ENST00000894732.1;ENST00000934235.1;ENST00000934236.1	0.003572
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	15	ENSG00000151655.20	ITIH2	ITIH2	26	26	20	ENST00000358415.9;ENST00000379587.4;ENST00000899752.1;ENST00000899753.1;ENST00000899754.1;ENST00000899755.1;ENST00000899756.1;ENST00000899757.1;ENST00000899758.1;ENST00000899759.1;ENST00000899760.1;ENST00000899761.1;ENST00000899762.1;ENST00000899763.1;ENST00000899764.1;ENST00000899765.1;ENST00000899766.1;ENST00000899767.1;ENST00000899768.1;ENST00000899769.1	0.003572
